idx,pid,case_upper,case_lower
626,K6LK1YRK,K6LK1YRK,K6LK1YRK
371,51MXL2ZA,51MXL2ZA,51MXL2ZA
543,FBZLIQ1L,FBZLIQ1L,FBZLIQ1L
539,F5NBC5X3,F5NBC5X3,F5NBC5X3
727,QOCAWJXM,QOCAWJXM,QOCAWJXM
334,35XFO1ZF,35XFO1ZF,35XFO1ZF
110,017U3R3T,017U3R3T,017U3R3T
278,09H2L7DM,09H2L7DM,09H2L7DM
672,MPLQN22P,MPLQN22P,MPLQN22P
859,XTF24UY3,XTF24UY3,XTF24UY3
74,015SW0RN,015SW0RN,015SW0RN
336,3ARXXI22,3ARXXI22,3ARXXI22
162,01CCTTK4,01CCTTK4,01CCTTK4
842,XA2VLAUJ,XA2VLAUJ,XA2VLAUJ
636,KNIH5AER,KNIH5AER,KNIH5AER
158,01AS003D,01AS003D,01AS003D
560,GK7OJEPT,GK7OJEPT,GK7OJEPT
21,013ZD6EX,013ZD6EX,013ZD6EX
295,0VFZZY32,0VFZZY32,0VFZZY32
345,3PSS0ONL,3PSS0ONL,3PSS0ONL
856,XNEIPJH8,XNEIPJH8,XNEIPJH8
579,HLA5ODT6,HLA5ODT6,HLA5ODT6
122,0191WKPV,0191WKPV,0191WKPV
514,DKZWON8N,DKZWON8N,DKZWON8N
882,Z8HJR6YS,Z8HJR6YS,Z8HJR6YS
500,CX7JD1LO,CX7JD1LO,CX7JD1LO
241,01K5X8CN,01K5X8CN,01K5X8CN
873,YTMRIXFD,YTMRIXFD,YTMRIXFD
416,7PQAZ8X1,7PQAZ8X1,7PQAZ8X1
427,8MTEIYKY,8MTEIYKY,8MTEIYKY
542,FA7LBP95,FA7LBP95,FA7LBP95
234,01JM5T86,01JM5T86,01JM5T86
832,X0DGDJA3,X0DGDJA3,X0DGDJA3
683,NQJYZS60,NQJYZS60,NQJYZS60
55,01533UH2,01533UH2,01533UH2
232,01JHAGK0,01JHAGK0,01JHAGK0
836,X3EW8O0A,X3EW8O0A,X3EW8O0A
404,6XSU5W4B,6XSU5W4B,6XSU5W4B
131,019M7KEN,019M7KEN,019M7KEN
141,019Z57FF,019Z57FF,019Z57FF
203,01FURZ62,01FURZ62,01FURZ62
621,JY7F4AAF,JY7F4AAF,JY7F4AAF
891,ZKJEPFDD,ZKJEPFDD,ZKJEPFDD
458,API3O9JV,API3O9JV,API3O9JV
531,EI585456,EI585456,EI585456
226,01J4YSDX,01J4YSDX,01J4YSDX
116,018RSPYF,018RSPYF,018RSPYF
898,patient1,patient1,patient1
256,01KTSH6A,01KTSH6A,01KTSH6A
585,HWO9T72O,HWO9T72O,HWO9T72O
461,ASUXPX7O,ASUXPX7O,ASUXPX7O
497,CUOT8S6L,CUOT8S6L,CUOT8S6L
127,019EK6N2,019EK6N2,019EK6N2
474,BEONHKS1,BEONHKS1,BEONHKS1
819,W6T6G0B6,W6T6G0B6,W6T6G0B6
509,DEBDX44O,DEBDX44O,DEBDX44O
412,7IGA0W6E,7IGA0W6E,7IGA0W6E
607,ITTMBOHC,ITTMBOHC,ITTMBOHC
746,S0AON6PZ,S0AON6PZ,S0AON6PZ
332,2XV86U1F,2XV86U1F,2XV86U1F
493,CLNVA9MZ,CLNVA9MZ,CLNVA9MZ
865,YBSESUN6,YBSESUN6,YBSESUN6
491,CIGUMDD0,CIGUMDD0,CIGUMDD0
316,230CAJXL,230CAJXL,230CAJXL
484,C4EMFL0D,C4EMFL0D,C4EMFL0D
12,013NXHPV,013NXHPV,013NXHPV
322,2C4FVXU0,2C4FVXU0,2C4FVXU0
721,Q5GSR6N2,Q5GSR6N2,Q5GSR6N2
576,HE565KIU,HE565KIU,HE565KIU
35,014ADZ2K,014ADZ2K,014ADZ2K
6,013FHA7K,013FHA7K,013FHA7K
97,016XWJ8X,016XWJ8X,016XWJ8X
837,X67M31XQ,X67M31XQ,X67M31XQ
782,U9UBDO05,U9UBDO05,U9UBDO05
692,ODC3F7X8,ODC3F7X8,ODC3F7X8
46,014WKP6A,014WKP6A,014WKP6A
185,01F4RGN8,01F4RGN8,01F4RGN8
36,014EZU5V,014EZU5V,014EZU5V
391,6FUR0HKF,6FUR0HKF,6FUR0HKF
49,014Z1E5D,014Z1E5D,014Z1E5D
211,01G1AKV2,01G1AKV2,01G1AKV2
753,SAIQAN8Y,SAIQAN8Y,SAIQAN8Y
161,01AVY0SK,01AVY0SK,01AVY0SK
840,X9OQZ131,X9OQZ131,X9OQZ131
268,01MAU84T,01MAU84T,01MAU84T
843,XAET4JJL,XAET4JJL,XAET4JJL
567,H1HUQBYJ,H1HUQBYJ,H1HUQBYJ
282,0EAKT1CU,0EAKT1CU,0EAKT1CU
146,019ZMN7R,019ZMN7R,019ZMN7R
84,016A053T,016A053T,016A053T
45,014S002X,014S002X,014S002X
659,LSMGKLAH,LSMGKLAH,LSMGKLAH
818,W33KWDRX,W33KWDRX,W33KWDRX
153,01A9282X,01A9282X,01A9282X
335,38JDN4ZV,38JDN4ZV,38JDN4ZV
595,I9TWNSD1,I9TWNSD1,I9TWNSD1
357,4J24X0ES,4J24X0ES,4J24X0ES
414,7IYV2N3D,7IYV2N3D,7IYV2N3D
677,N53MDM0A,N53MDM0A,N53MDM0A
20,013Z9SM2,013Z9SM2,013Z9SM2
501,CXAJM3O9,CXAJM3O9,CXAJM3O9
339,3EU06ZN9,3EU06ZN9,3EU06ZN9
112,017UXKRN,017UXKRN,017UXKRN
318,270KABNB,270KABNB,270KABNB
277,09BMUY86,09BMUY86,09BMUY86
555,GANLQSL1,GANLQSL1,GANLQSL1
796,V5U3CUGX,V5U3CUGX,V5U3CUGX
472,BBHLWUPK,BBHLWUPK,BBHLWUPK
496,CR6E6PTV,CR6E6PTV,CR6E6PTV
189,01FAXM1D,01FAXM1D,01FAXM1D
16,013V9CKV,013V9CKV,013V9CKV
851,XGTCZ6LH,XGTCZ6LH,XGTCZ6LH
807,VNM3GH9Z,VNM3GH9Z,VNM3GH9Z
512,DHS59TDF,DHS59TDF,DHS59TDF
790,ULCJXQS5,ULCJXQS5,ULCJXQS5
702,ORDHT9TX,ORDHT9TX,ORDHT9TX
609,J1A5FRQN,J1A5FRQN,J1A5FRQN
826,WK3XHJR5,WK3XHJR5,WK3XHJR5
429,8QFKXVYB,8QFKXVYB,8QFKXVYB
169,01E5T402,01E5T402,01E5T402
58,0154T9CN,0154T9CN,0154T9CN
875,YVGEP1R6,YVGEP1R6,YVGEP1R6
654,LLJGPB8I,LLJGPB8I,LLJGPB8I
513,DKDRMRFK,DKDRMRFK,DKDRMRFK
386,653MMYW8,653MMYW8,653MMYW8
656,LNQ2C7W2,LNQ2C7W2,LNQ2C7W2
101,0175MHGN,0175MHGN,0175MHGN
748,S18Q8Q4Z,S18Q8Q4Z,S18Q8Q4Z
113,017UYAW4,017UYAW4,017UYAW4
488,CBH07YND,CBH07YND,CBH07YND
168,01E5PXS8,01E5PXS8,01E5PXS8
134,019NUXJV,019NUXJV,019NUXJV
390,6BWQC0CT,6BWQC0CT,6BWQC0CT
180,01ENJ8TT,01ENJ8TT,01ENJ8TT
823,WBR4UERA,WBR4UERA,WBR4UERA
855,XMFOMUYV,XMFOMUYV,XMFOMUYV
690,O52P1SZT,O52P1SZT,O52P1SZT
583,HSY4YB1J,HSY4YB1J,HSY4YB1J
28,01422MSK,01422MSK,01422MSK
896,karklina,karklina,karklina
152,01A91JH6,01A91JH6,01A91JH6
871,YNKZHRP0,YNKZHRP0,YNKZHRP0
831,WTZ3ZI3U,WTZ3ZI3U,WTZ3ZI3U
88,016KWDMV,016KWDMV,016KWDMV
70,015KRWDT,015KRWDT,015KRWDT
581,HPVH85IJ,HPVH85IJ,HPVH85IJ
482,C2SF98X5,C2SF98X5,C2SF98X5
4,01346914,01346914,01346914
594,I9OKVRWS,I9OKVRWS,I9OKVRWS
308,1MWJLE4X,1MWJLE4X,1MWJLE4X
629,K9X2TVDE,K9X2TVDE,K9X2TVDE
68,015DXGZH,015DXGZH,015DXGZH
644,L428SD7J,L428SD7J,L428SD7J
652,LGADV15G,LGADV15G,LGADV15G
297,0Y047OQK,0Y047OQK,0Y047OQK
566,GW8YVYNF,GW8YVYNF,GW8YVYNF
66,015DTXR8,015DTXR8,015DTXR8
86,016FT33T,016FT33T,016FT33T
682,NQ2A571C,NQ2A571C,NQ2A571C
788,UJPJ175B,UJPJ175B,UJPJ175B
563,GRG0112S,GRG0112S,GRG0112S
384,5SD5BWLR,5SD5BWLR,5SD5BWLR
464,AY0DEPFN,AY0DEPFN,AY0DEPFN
43,014RZJT4,014RZJT4,014RZJT4
18,013Z78FX,013Z78FX,013Z78FX
224,01J24RCK,01J24RCK,01J24RCK
223,01J1XXHR,01J1XXHR,01J1XXHR
90,016NA0VD,016NA0VD,016NA0VD
244,01KC08MV,01KC08MV,01KC08MV
848,XD8J3TG7,XD8J3TG7,XD8J3TG7
323,2CE5VDAE,2CE5VDAE,2CE5VDAE
657,LOVM549U,LOVM549U,LOVM549U
724,QDI80G6G,QDI80G6G,QDI80G6G
389,6B5BDMQS,6B5BDMQS,6B5BDMQS
503,CZ0XDR02,CZ0XDR02,CZ0XDR02
762,SMP891U8,SMP891U8,SMP891U8
419,82D9U6D6,82D9U6D6,82D9U6D6
883,ZB8NU437,ZB8NU437,ZB8NU437
202,01FR9KKX,01FR9KKX,01FR9KKX
315,22AEG48N,22AEG48N,22AEG48N
92,016SVMHT,016SVMHT,016SVMHT
65,015DK78F,015DK78F,015DK78F
565,GSICB2I6,GSICB2I6,GSICB2I6
894,ameziani,ameziani,ameziani
587,I004CBAW,I004CBAW,I004CBAW
765,SZQ66Y5A,SZQ66Y5A,SZQ66Y5A
342,3JVRS0V2,3JVRS0V2,3JVRS0V2
208,01FX4X4R,01FX4X4R,01FX4X4R
374,55EXF0WK,55EXF0WK,55EXF0WK
575,HDVYC7UQ,HDVYC7UQ,HDVYC7UQ
301,14M656LK,14M656LK,14M656LK
400,6TZ254SP,6TZ254SP,6TZ254SP
511,DGUTSTAN,DGUTSTAN,DGUTSTAN
694,OEIWQQMQ,OEIWQQMQ,OEIWQQMQ
598,IF1GKK1E,IF1GKK1E,IF1GKK1E
255,01KTRG9K,01KTRG9K,01KTRG9K
